INSTANCE,HEA-BEST,HEA-AVG
in06_147.dat,8546,8551.35
in06_148.dat,7273,7279.55
in06_149.dat,8324,8328.65
in06_150.dat,8315,8321.55
in06_151.dat,8391,8397
in06_152.dat,7895,7900.7
in06_153.dat,7799,7806.1
in06_154.dat,8396,8404.5
in06_155.dat,8223,8225.4
in06_156.dat,7805,7806.65
in06_157.dat,7721,7735.15
in06_158.dat,9079,9097.05
in06_159.dat,9148,9153.5
in06_160.dat,8362,8373.5
in06_161.dat,7946,7957.45
in06_162.dat,8702,8706.3
in06_163.dat,7504,7510.1
in06_164.dat,8878,8886.7
in06_165.dat,8118,8121.9
in06_166.dat,8650,8652.35
in06_167.dat,8430,8438.45
in06_168.dat,8519,8524.95
in06_169.dat,8148,8154.3
in06_170.dat,8868,8883.35
in06_171.dat,8072,8077
in06_172.dat,7591,7599.8
in06_173.dat,7687,7693.55
in06_174.dat,8083,8088.5
in06_175.dat,7754,7758.65
in06_176.dat,7883,7886.45
in06_177.dat,8471,8476.85
in06_178.dat,7699,7709.9
in06_179.dat,7885,7891.9
in06_180.dat,7911,7916.5
in06_181.dat,11020,11027.85
in06_182.dat,11171,11184.85
in06_183.dat,10378,10397.2
in06_184.dat,11585,11600.45
in06_185.dat,10291,10310
in06_186.dat,10891,10900.05
in06_187.dat,11078,11085.1
in06_188.dat,10619,10629.3
in06_189.dat,10076,10094.75
in06_190.dat,10060,10068.6
in06_191.dat,11128,11139.95
in06_192.dat,10804,10811.6
in06_193.dat,9377,9392.85
in06_194.dat,11306,11320.75
in06_195.dat,10815,10818.8
in06_196.dat,11090,11108.7
in06_197.dat,10698,10707.5
in06_198.dat,11963,11974.7
in06_199.dat,11317,11328.7
in06_200.dat,10070,10085.45
in06_201.dat,11769,11775.4
in06_202.dat,10913,10921.7
in06_203.dat,11331,11340.4
in06_204.dat,10114,10126.75
in06_205.dat,10682,10691.05
in06_206.dat,9429,9444.95
in06_207.dat,10089,10100.45
in06_208.dat,11181,11188
in06_209.dat,10244,10253.45
in06_210.dat,9473,9485.6
in06_211.dat,11556,11571.7
in06_212.dat,11375,11385.65
in06_213.dat,10600,10607.45
in06_214.dat,11491,11503.9
in06_215.dat,10408,10428.65
in06_216.dat,10531,10541.45
in06_217.dat,10578,10587.95
in06_218.dat,10679,10684.8
in06_219.dat,10405,10419.05
in06_220.dat,9929,9954.25
in06_221.dat,10829,10837.8
in06_222.dat,10840,10853.95
in06_223.dat,11255,11266.2
in06_224.dat,10401,10409.55
in06_225.dat,10752,10765
in06_226.dat,11428,11439.95
in06_227.dat,9231,9237.4
in06_228.dat,11309,11318.5
in06_229.dat,9985,9992.8
in06_230.dat,10002,10011.2
in06_231.dat,10123,10133.85
in06_232.dat,10673,10685.6
in06_233.dat,10419,10427.85
in06_234.dat,10079,10086.8
in06_235.dat,9719,9725.1
in06_236.dat,10478,10488
in06_237.dat,11171,11179.65
in06_238.dat,10480,10487.25
in06_239.dat,10179,10191.8
in06_240.dat,10612,10621.5
in06_241.dat,12731,12741.95
in06_242.dat,13666,13681.1
in06_243.dat,12685,12714.6
in06_244.dat,14552,14571.75
in06_245.dat,12807,12837.75
in06_246.dat,12927,12936.45
in06_247.dat,12940,12954.2
in06_248.dat,14057,14068.9
in06_249.dat,12930,12941.9
in06_250.dat,13484,13491.1
in06_251.dat,13660,13682.25
in06_252.dat,13377,13403.75
in06_253.dat,14295,14305.7
in06_254.dat,14102,14112.85
in06_255.dat,13013,13025.2
in06_256.dat,14077,14109.2
in06_257.dat,13454,13467.5
in06_258.dat,12719,12743.1
in06_259.dat,13026,13039
in06_260.dat,13392,13404.4
in06_261.dat,14037,14048.5
in06_262.dat,13596,13606.5
in06_263.dat,13224,13231.25
in06_264.dat,13061,13068.2
in06_265.dat,13508,13519
in06_266.dat,11886,11899.75
in06_267.dat,13271,13284.3
in06_268.dat,13608,13620.25
in06_269.dat,13123,13134.1
in06_270.dat,12400,12421.1
in06_271.dat,14379,14388.25
in06_272.dat,12687,12695.25
in06_273.dat,13069,13080.75
in06_274.dat,13611,13620.5
in06_275.dat,13317,13323.7
in06_276.dat,13542,13549.75
in06_277.dat,13594,13606.95
in06_278.dat,12934,12945.05
in06_279.dat,13268,13283.6
in06_280.dat,13143,13154.55
in06_281.dat,11910,11930.3
in06_282.dat,12669,12678.95
in06_283.dat,13807,13817.2
in06_284.dat,13666,13677.75
in06_285.dat,13226,13237.6
in06_286.dat,13467,13474.25
in06_287.dat,12714,12720.3
in06_288.dat,12770,12778.75
in06_289.dat,12159,12183.75
in06_290.dat,13001,13011.7
in06_291.dat,13053,13076.5
in06_292.dat,12610,12620.3
in06_293.dat,14013,14024.55
in06_294.dat,13665,13679.4
in06_295.dat,13032,13044.85
in06_296.dat,11846,11853.45
in06_297.dat,13527,13542.3
in06_298.dat,13586,13597.25
in06_299.dat,14033,14046.5
in06_300.dat,12643,12654.35
in06_301.dat,15362,15373
in06_302.dat,16292,16300.55
in06_303.dat,16587,16609.15
in06_304.dat,16496,16515.45
in06_305.dat,16316,16351.65
in06_306.dat,14909,14940.75
in06_307.dat,14908,14937.65
in06_308.dat,14609,14631.65
in06_309.dat,16214,16236.25
in06_310.dat,16036,16062
in06_311.dat,15530,15541.75
in06_312.dat,16115,16138.3
in06_313.dat,15360,15380.55
in06_314.dat,16475,16496.55
in06_315.dat,17386,17401.9
in06_316.dat,17004,17022.1
in06_317.dat,17294,17311.8
in06_318.dat,15789,15823.85
in06_319.dat,14994,15017.75
in06_320.dat,15806,15826.6
in06_321.dat,16834,16843.35
in06_322.dat,15828,15844.2
in06_323.dat,15219,15236.4
in06_324.dat,15879,15889.4
in06_325.dat,16363,16375.7
in06_326.dat,16079,16095.45
in06_327.dat,15261,15274.1
in06_328.dat,16054,16067.75
in06_329.dat,15759,15774.45
in06_330.dat,15216,15230.05
in06_331.dat,16206,16222.45
in06_332.dat,15117,15132.8
in06_333.dat,15832,15843.75
in06_334.dat,16382,16389.35
in06_335.dat,15921,15931.9
in06_336.dat,14674,14683.05
in06_337.dat,15434,15457.4
in06_338.dat,15910,15922.35
in06_339.dat,15944,15953.3
in06_340.dat,13905,13916.65
in06_341.dat,16347,16363.05
in06_342.dat,15193,15203.7
in06_343.dat,15829,15843.55
in06_344.dat,15439,15458.75
in06_345.dat,15706,15717.75
in06_346.dat,15675,15691.9
in06_347.dat,16239,16247.35
in06_348.dat,16748,16758.35
in06_349.dat,14149,14168.45
in06_350.dat,15734,15747.4
in06_351.dat,16066,16080
in06_352.dat,16128,16142.8
in06_353.dat,15741,15754.75
in06_354.dat,16234,16250.35
in06_355.dat,14648,14671.4
in06_356.dat,15766,15780.5
in06_357.dat,15479,15491.65
in06_358.dat,14005,14013.2
in06_359.dat,15655,15669.7
in06_360.dat,16171,16184.7
in10_001.dat,3554,3554
in10_002.dat,3297,3297
in10_003.dat,3182,3182
in10_004.dat,3460,3460
in10_005.dat,3288,3288
in10_006.dat,3699,3699.6
in10_007.dat,3478,3479.8
in10_008.dat,3455,3455
in10_009.dat,3622,3622
in10_010.dat,3391,3391
in10_011.dat,3521,3521
in10_012.dat,3392,3392
in10_013.dat,3191,3191
in10_014.dat,3462,3465.3
in10_015.dat,3513,3513
in10_016.dat,2896,2898.6
in10_017.dat,2692,2693.4
in10_018.dat,3485,3485
in10_019.dat,3360,3360
in10_020.dat,3259,3259
in10_021.dat,2749,2749
in10_022.dat,3261,3261
in10_023.dat,3104,3104
in10_024.dat,3153,3153
in10_025.dat,3580,3580
in10_026.dat,3298,3298
in10_027.dat,3136,3136
in10_028.dat,2618,2618
in10_029.dat,2904,2904
in10_030.dat,2786,2786
in10_031.dat,2621,2621
in10_032.dat,2820,2820
in10_033.dat,3106,3106
in10_034.dat,3368,3368
in10_035.dat,3058,3058
in10_036.dat,2496,2496
in10_037.dat,3224,3224
in10_038.dat,3295,3295
in10_039.dat,3179,3179
in10_040.dat,3214,3214
in10_041.dat,3289,3289
in10_042.dat,2879,2879
in10_043.dat,3500,3500
in10_044.dat,2889,2889
in10_045.dat,2905,2905
in10_046.dat,3313,3313
in10_047.dat,3199,3199
in10_048.dat,3050,3050
in10_049.dat,3247,3247
in10_050.dat,2667,2667
in10_051.dat,2830,2830
in10_052.dat,3166,3166
in10_053.dat,2940,2940
in10_054.dat,2968,2968
in10_055.dat,3170,3170
in10_056.dat,3205,3205
in10_057.dat,3089,3089
in10_058.dat,3306,3306
in10_059.dat,3095,3095
in10_060.dat,2555,2555
in10_061.dat,6661,6698.1
in10_062.dat,6840,6840.35
in10_063.dat,5942,5964.3
in10_064.dat,5591,5607.5
in10_065.dat,5356,5386
in10_066.dat,5865,5873.45
in10_067.dat,6655,6658.1
in10_068.dat,6868,6880.6
in10_069.dat,6519,6539.45
in10_070.dat,6581,6602.25
in10_071.dat,6703,6737.7
in10_072.dat,5746,5759.95
in10_073.dat,5485,5501.3
in10_074.dat,6303,6304.4
in10_075.dat,5841,5842.3
in10_076.dat,6259,6260.5
in10_077.dat,5488,5502.85
in10_078.dat,5969,5971.3
in10_079.dat,6182,6199.9
in10_080.dat,6403,6426.65
in10_081.dat,5149,5150.4
in10_082.dat,5729,5733
in10_083.dat,5278,5291.05
in10_084.dat,5472,5475.95
in10_085.dat,4724,4728.25
in10_086.dat,5089,5092.95
in10_087.dat,5818,5818.65
in10_088.dat,5628,5628
in10_089.dat,4866,4875.9
in10_090.dat,6325,6326.8
in10_091.dat,5348,5349.9
in10_092.dat,5290,5291.3
in10_093.dat,5513,5516.95
in10_094.dat,4879,4879.7
in10_095.dat,6127,6130
in10_096.dat,5366,5379.55
in10_097.dat,5678,5682
in10_098.dat,5845,5847
in10_099.dat,4687,4688.05
in10_100.dat,5616,5619
in10_101.dat,5833,5835.35
in10_102.dat,5098,5101.55
in10_103.dat,5329,5329
in10_104.dat,6199,6199.55
in10_105.dat,5599,5599
in10_106.dat,5190,5198.65
in10_107.dat,5529,5534.8
in10_108.dat,5524,5531.9
in10_109.dat,5888,5890.65
in10_110.dat,5547,5548.8
in10_111.dat,5182,5182
in10_112.dat,5729,5729.6
in10_113.dat,5612,5620.9
in10_114.dat,6001,6002.6
in10_115.dat,5224,5229.9
in10_116.dat,5358,5358.45
in10_117.dat,6270,6272.75
in10_118.dat,5964,5964
in10_119.dat,5716,5725.95
in10_120.dat,6001,6002.9
in10_121.dat,8428,8460.8
in10_122.dat,8608,8627
in10_123.dat,9298,9316.95
in10_124.dat,8671,8688.95
in10_125.dat,9581,9599.6
in10_126.dat,8558,8577.9
in10_127.dat,8610,8635.15
in10_128.dat,9087,9109
in10_129.dat,8784,8814.25
in10_130.dat,8529,8575.45
in10_131.dat,8065,8085.25
in10_132.dat,9791,9808.25
in10_133.dat,9087,9142
in10_134.dat,8720,8732.9
in10_135.dat,8719,8725.55
in10_136.dat,9180,9184.9
in10_137.dat,9606,9625.15
in10_138.dat,9206,9219.5
in10_139.dat,9041,9088.55
in10_140.dat,8526,8552.95
in10_141.dat,8528,8529.1
in10_142.dat,7760,7763.1
in10_143.dat,7933,7940.65
in10_144.dat,8038,8043.8
in10_145.dat,8542,8549.85
in10_146.dat,8612,8621.2
in10_147.dat,8245,8251.1
in10_148.dat,8082,8090.25
in10_149.dat,8622,8624.8
in10_150.dat,7716,7728.95
in10_151.dat,8627,8629.9
in10_152.dat,7425,7431.25
in10_153.dat,8795,8795.8
in10_154.dat,7665,7689
in10_155.dat,8407,8409.05
in10_156.dat,7973,7976.7
in10_157.dat,8221,8226.55
in10_158.dat,8062,8084.05
in10_159.dat,8510,8522.2
in10_160.dat,7833,7845.5
in10_161.dat,7385,7395.75
in10_162.dat,7453,7458.95
in10_163.dat,8310,8315.15
in10_164.dat,8156,8159.8
in10_165.dat,7780,7786.65
in10_166.dat,7808,7812.55
in10_167.dat,8248,8254.25
in10_168.dat,8653,8655.95
in10_169.dat,7533,7548.25
in10_170.dat,8743,8745.9
in10_171.dat,8308,8310.7
in10_172.dat,8467,8478.1
in10_173.dat,8073,8084.2
in10_174.dat,7445,7453.35
in10_175.dat,7869,7874.9
in10_176.dat,8318,8321.4
in10_177.dat,8784,8790.25
in10_178.dat,8683,8689.6
